AverageHash,ColorHash,DateModified,DateTime,DateTimeOriginal,DateTimeDigitized,Format,ColorSpace,Orientation,FileSize,XSize,YSize,Make,Model,Software,HostComputer,ImageDescription,FileName,SourceDir
fefffefff87f9879da27ba018c000c000c400c233f403258005800100f049d48,0397870030073c1003001,2021-08-13 17:57:52,2021:08:13 17:57:53,,,MPO,,1,6225920,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00681.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
fdeffdeff0e770c734c314000c000e00c88f5c8236f060208e3c1e8e1a0e3c0c,0797c70030073c1007001,2021-08-13 17:57:58,2021:08:13 17:57:59,,,MPO,,1,6356992,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00682.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
1c0f1c871e732e613ee01c083d803f80ff80ffa8fda9f92bfb07f187f587ff8f,05f78300000e740000000,2021-08-13 17:57:58,2021:08:13 17:57:59,,,MPO,,8,4653056,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00683.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
ffffbfff1fdc0fdc0eb80d3c0746c687ce04cd44c447c003c003000700030003,19d3dd00700018e006000,2021-08-13 17:58:34,2021:08:13 17:58:35,,,MPO,,1,8454144,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00684.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
007f00ff18ff01f701ff01ff02ff067f367f3a7f1eff01ff01f7007300270027,37cf8c086006081000001,2021-08-28 08:31:06,2021:08:28 08:31:07,,,MPO,,6,5308416,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00705.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
00ff00ff007f007f033f02bf021f425f665f724f720f331f133f007f007f007f,1bef80001007040000003,2021-08-28 08:31:06,2021:08:28 08:31:07,,,MPO,,6,4915200,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00706.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
00000000018001c000803180308621e203f83ffc1ffc5ff8e3e2e3e3e1e241e0,1ba38d03b000000006000,2021-08-28 08:32:32,2021:08:28 08:32:33,,,MPO,,1,9535488,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00707.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
1f007f00ff80ff80ff86ffe6ffe8ff78ffe4ffe4ff80ff80ff80ff80ff800f00,05f30703f00000000f000,2021-08-28 08:32:32,2021:08:28 08:32:33,,,MPO,,8,6553600,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00708.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
00ff04ff8cff88ff81ff01fe15fe0bff0dff0def04ff00fb00ff013f003f001f,3bc7cf38c007000000000,2021-08-28 08:32:48,2021:08:28 08:32:49,,,MPO,,6,6062080,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00709.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
11ff21ff41ff05ff07ff02ff13fb07fb27f772cd33ef11e101e503fd00fd007d,1fff8218200f040000000,2021-08-28 08:32:48,2021:08:28 08:32:49,,,MPO,,6,5537792,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00710.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
00ff00ff05ff01fe00fe03fc0bfd37fd3fe71bff03ff01c701cb007f003f003f,3bc78f3c600e040000000,2021-08-28 08:32:50,2021:08:28 08:32:51,,,MPO,,6,4554752,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00711.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
00fb00fb09fd19fd01ff03ff03ff0bff167f1a7f1bff01ff01f700670067003f,37d7cc1c3007040000001,2021-08-28 08:32:52,2021:08:28 08:32:53,,,MPO,,6,5734400,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00712.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
31ff01ff00ff00ff06ff027f127f063f663d723f727f32ff01fd00fc00fc0078,1fefc004100d000000002,2021-08-28 08:32:52,2021:08:28 08:32:53,,,MPO,,6,5111808,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00713.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
4feb018f800f9e08d64cf748df0a9d0ff70ffe1f4c0e206e84ee04cccc8cccbd,09f7cd00f006181000001,2021-08-28 08:32:56,2021:08:28 08:32:56,,,MPO,,6,5701632,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00714.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
